港台频道,#genre#
CHC影迷电影,http://222.217.247.52:8181/tsfile/live/1067_1.m3u8
CHC家庭影院,http://222.217.247.52:8181/tsfile/live/1056_1.m3u8
北京淘电影,http://[2409:8087:1:20:20::26]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226552/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EXOsrWMA-UCdUl1hQSR9EKw%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNNg3bzRax0E9tLmO9xgXVx8%2CEND

港澳高清,#genre#

澳视卫星HD,https://cdn.163189.xyz/live/as/stream.m3u8
翡翠台4KHD,https://cdn.163189.xyz/live/fct4k/stream.m3u8
HOY TVHD,https://cdn.163189.xyz/live/hoy/stream.m3u8
无线翡翠4K,http://cdn.163189.xyz/live/fct4k/stream.m3u8
凤凰中文HD,https://cdn.163189.xyz/live/fhzw/stream.m3u8
凤凰卫视HD,https://cdn.163189.xyz/live/fhzw/stream.m3u8
澳视澳门HD,https://cdn.163189.xyz/live/asam/stream.m3u8
Plus综合HD,https://cdn.163189.xyz/live/tvbp/stream.m3u8
TVB PLUS HD,https://cdn.163189.xyz/live/tvbp/stream.m3u8
美亚电影台,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
华丽翡翠,http://php.jdshipin.com:8880/smt.php?id=Wlt
TVB翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
凤凰卫视,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
TVB星河台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
广州新闻,http://php.jdshipin.com:8880/gztv.php?id=xinwen
广东珠江,http://php.jdshipin.com:8880/TVOD/iptv.php?id=gdzj
翡翠台4K,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct2
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
TVB星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
TVB Plus,http://php.jdshipin.com:8880/TVOD/iptv.php?id=j2
TVB Plus,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbp
TVBJade,http://php.jdshipin.com:8880/smt.php?id=Tvbjade

台湾频道,#genre#

中天综合,http://108.181.20.197/livehttpplay?channel_id=20064
三立都会,http://108.181.20.197/livehttpplay?channel_id=20100
东森新闻,http://108.181.20.197/livehttpplay?channel_id=20082
凤凰中文,http://108.181.20.197/livehttpplay?channel_id=20065
凤凰香港,http://108.181.20.197/livehttpplay?channel_id=20067
凤凰香港,http://108.181.20.197/livehttpplay?channel_id=30016
凤凰中文,http://108.181.20.197/livehttpplay?channel_id=30014
凤凰资讯,http://108.181.20.197/livehttpplay?channel_id=20066
凤凰资讯,http://108.181.20.197/livehttpplay?channel_id=30015
美亚电影,http://108.181.20.197/livehttpplay?channel_id=20197
天映电影,http://108.181.20.197/livehttpplay?channel_id=10130
龙华电影,http://108.181.20.197/livehttpplay?channel_id=10129
东森电影,http://108.181.20.197/livehttpplay?channel_id=20077
东森洋片,http://108.181.20.197/livehttpplay?channel_id=20080
纬来电影,http://108.181.20.197/livehttpplay?channel_id=20199
天映经典,http://108.181.20.197/livehttpplay?channel_id=20063
好莱坞电影,http://108.181.20.197/livehttpplay?channel_id=20062
龙华洋片,http://108.181.20.197/livehttpplay?channel_id=20090
龙祥电影,http://108.181.20.197/livehttpplay?channel_id=20114
HBO,http://108.181.20.197/livehttpplay?channel_id=20314
HBO,http://108.181.20.197/livehttpplay?channel_id=20093
华纳W北京,http://108.181.20.197/livehttpplay?channel_id=20112
ELTA体育,http://108.181.20.197/livehttpplay?channel_id=20043
壹新闻,http://108.181.20.197/livehttpplay?channel_id=20028
NOW新闻,http://108.181.20.197/livehttpplay?channel_id=20041
公视,http://108.181.20.197/livehttpplay?channel_id=20087
星河,http://108.181.20.197/livehttpplay?channel_id=20070
台视,http://108.181.20.197/livehttpplay?channel_id=20076
中视,http://108.181.20.197/livehttpplay?channel_id=20088
ELEVENSPORTS2,http://108.181.20.197/livehttpplay?channel_id=10105
ELEVENSPORTS1,http://108.181.20.197/livehttpplay?channel_id=10104
博斯高球2,http://108.181.20.197/livehttpplay?channel_id=20117
爱尔体育1,http://108.181.20.197/livehttpplay?channel_id=20129
博斯运动2,http://108.181.20.197/livehttpplay?channel_id=20311
五星体育,http://108.181.20.197/livehttpplay?channel_id=20060
东森综合,http://108.181.20.197/livehttpplay?channel_id=20104
靖天娱乐,http://108.181.20.197/livehttpplay?channel_id=30020
三立戏剧,http://108.181.20.197/livehttpplay?channel_id=10125
三立新闻,http://108.181.20.197/livehttpplay?channel_id=10126
博斯运动,http://108.181.20.197/livehttpplay?channel_id=10131
年代新闻,http://108.181.20.197/livehttpplay?channel_id=20033
龙华偶像,http://108.181.20.197/livehttpplay?channel_id=20023
国家地理,http://108.181.20.197/livehttpplay?channel_id=20037
非凡新闻,http://108.181.20.197/livehttpplay?channel_id=20034
八大精彩,http://108.181.20.197/livehttpplay?channel_id=20052
八大综合,http://108.181.20.197/livehttpplay?channel_id=20068
八大娱乐,http://108.181.20.197/livehttpplay?channel_id=20071
八大第一,http://108.181.20.197/livehttpplay?channel_id=20073
东森戏剧,http://108.181.20.197/livehttpplay?channel_id=20072
东森财经,http://108.181.20.197/livehttpplay?channel_id=20078
中天娱乐,http://108.181.20.197/livehttpplay?channel_id=20079
龙华日韩,http://108.181.20.197/livehttpplay?channel_id=20080
华视新闻,http://108.181.20.197/livehttpplay?channel_id=20086
尼克动画,http://108.181.20.197/livehttpplay?channel_id=20089
民视新闻,http://108.181.20.197/livehttpplay?channel_id=20097
动物星球,http://108.181.20.197/livehttpplay?channel_id=20106
探索亚洲,http://108.181.20.197/livehttpplay?channel_id=20113
探索世界,http://108.181.20.197/livehttpplay?channel_id=20110
纬来体育,http://108.181.20.197/livehttpplay?channel_id=20120
国兴卫视,http://108.181.20.197/livehttpplay?channel_id=20164
纬来戏剧,http://108.181.20.197/livehttpplay?channel_id=20200
纬来综合,http://108.181.20.197/livehttpplay?channel_id=20201
纬来娱乐,http://108.181.20.197/livehttpplay?channel_id=20202
纬来日本,http://108.181.20.197/livehttpplay?channel_id=20303
靖天欢乐,http://108.181.20.197/livehttpplay?channel_id=30021
ELTA体育2,http://108.181.20.197/livehttpplay?channel_id=20107
美国中文电视,http://108.181.20.197/livehttpplay?channel_id=10128
TVBS欢乐,http://108.181.20.197/livehttpplay?channel_id=20105
TVBS精彩,http://108.181.20.197/livehttpplay?channel_id=20136
FGM电影,http://108.181.20.197/livehttpplay?channel_id=10123
BBC地球,http://108.181.20.197/livehttpplay?channel_id=20044
HBOFAMILY,http://108.181.20.197/livehttpplay?channel_id=20092
CHANNEL8,http://108.181.20.197/livehttpplay?channel_id=10132
CN卡通,http://108.181.20.197/livehttpplay?channel_id=20048
HBOHITS,http://108.181.20.197/livehttpplay?channel_id=20091
民视,http://108.181.20.197/livehttpplay?channel_id=20074
采昌,http://108.181.20.197/livehttpplay?channel_id=20141
HOY78,http://108.181.20.197/livehttpplay?channel_id=20191
TVBSNEWS,http://61.221.215.25:8800/hls/9/index.m3u8
三立戏剧台,http://61.221.215.25:8800/hls/41/index.m3u8
纬来精采,http://61.221.215.25:8800/hls/48/index.m3u8

IPTV网央省,#genre#

CCTV1高清,http://183.196.87.176:880/hls/1/index.m3u8
CCTV1高清,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8
CCTV2高清,http://iptv.huuc.edu.cn/hls/cctv2hd.m3u8
CCTV3高清,http://iptv.huuc.edu.cn/hls/cctv3hd.m3u8
CCTV4高清,http://iptv.huuc.edu.cn/hls/cctv4hd.m3u8
CCTV5高清,http://iptv.huuc.edu.cn/hls/cctv5hd.m3u8
CCTV6高清,http://iptv.huuc.edu.cn/hls/cctv6hd.m3u8
CCTV7高清,http://iptv.huuc.edu.cn/hls/cctv7hd.m3u8
CCTV8高清,http://iptv.huuc.edu.cn/hls/cctv8hd.m3u8
CCTV9高清,http://iptv.huuc.edu.cn/hls/cctv9hd.m3u8
CCTV10高清,http://iptv.huuc.edu.cn/hls/cctv10hd.m3u8
CCTV11高清,http://iptv.huuc.edu.cn/hls/cctv11hd.m3u8
CCTV12高清,http://iptv.huuc.edu.cn/hls/cctv12hd.m3u8
CCTV13高清,http://iptv.huuc.edu.cn/hls/cctv13hd.m3u8
CCTV14高清,http://iptv.huuc.edu.cn/hls/cctv14hd.m3u8
北京卫视,http://iptv.huuc.edu.cn/hls/btv1hd.m3u8
湖南卫视,http://iptv.huuc.edu.cn/hls/hunanhd.m3u8
黑龙江卫视,http://iptv.huuc.edu.cn/hls/hljhd.m3u8
东方卫视,http://iptv.huuc.edu.cn/hls/dfhd.m3u8
深圳卫视,http://iptv.huuc.edu.cn/hls/szhd.m3u8
四川卫视,http://iptv.huuc.edu.cn/hls/schd.m3u8
东南卫视,http://iptv.huuc.edu.cn/hls/dnhd.m3u8
湖北卫视,http://iptv.huuc.edu.cn/hls/hbhd.m3u8
北京文艺,http://iptv.huuc.edu.cn/hls/btv2hd.m3u8
北京纪实,http://iptv.huuc.edu.cn/hls/btv11hd.m3u8
辽宁卫视,http://iptv.huuc.edu.cn/hls/lnhd.m3u8
江西卫视,http://iptv.huuc.edu.cn/hls/jxhd.m3u8
北京体育,http://iptv.huuc.edu.cn/hls/btv6hd.m3u8
北京影视,http://iptv.huuc.edu.cn/hls/btv4hd.m3u8
北京新闻,http://iptv.huuc.edu.cn/hls/btv9hd.m3u8
浙江卫视,http://iptv.huuc.edu.cn/hls/zjhd.m3u8
江苏卫视,http://iptv.huuc.edu.cn/hls/jshd.m3u8
安徽卫视,http://iptv.huuc.edu.cn/hls/ahhd.m3u8
广东卫视,http://iptv.huuc.edu.cn/hls/gdhd.m3u8
天津卫视,http://iptv.huuc.edu.cn/hls/tjhd.m3u8
山东卫视,http://iptv.huuc.edu.cn/hls/sdhd.m3u8
重庆卫视,http://iptv.huuc.edu.cn/hls/cqhd.m3u8
上海纪实,http://iptv.huuc.edu.cn/hls/docuchina.m3u8
金鹰纪实,http://iptv.huuc.edu.cn/hls/gedocu.m3u8
河北卫视,http://iptv.huuc.edu.cn/hls/hebhd.m3u8

浙江省内电信,#genre#

浙江卫视高清,http://36.27.104.104:4022/udp/233.50.201.100:5140
浙江钱江高清,http://36.27.104.104:4022/udp/233.50.201.132:5140
浙江生活高清,http://36.27.104.104:4022/udp/233.50.201.133:5140
浙江教育高清,http://36.27.104.104:4022/udp/233.50.201.134:5140
浙江民生高清,http://36.27.104.104:4022/udp/233.50.201.136:5140
浙江新闻高清,http://36.27.104.104:4022/udp/233.50.201.137:5140
浙江少儿高清,http://36.27.104.104:4022/udp/233.50.201.138:5140
浙江纪录高清,http://36.27.104.104:4022/udp/233.50.202.25:5140
杭州综合高清,http://36.27.104.104:4022/udp/233.50.201.173:5140
杭州明珠高清,http://36.27.104.104:4022/udp/233.50.201.174:5140
杭州生活高清,http://36.27.104.104:4022/udp/233.50.201.175:5140
杭州影视高清,http://36.27.104.104:4022/udp/233.50.201.176:5140
杭州青少高清,http://36.27.104.104:4022/udp/233.50.201.177:5140
杭州导视高清,http://36.27.104.104:4022/udp/233.50.201.182:5140
宁波综合高清,http://36.27.104.104:4022/udp/233.50.201.168:5140
宁波生活高清,http://36.27.104.104:4022/udp/233.50.201.178:5140
宁波文体高清,http://36.27.104.104:4022/udp/233.50.201.179:5140
宁波影视高清,http://36.27.104.104:4022/udp/233.50.201.180:5140
宁波少儿高清,http://36.27.104.104:4022/udp/233.50.201.181:5140
温州综合高清,http://36.27.104.104:4022/udp/233.50.201.87:5140
绍兴综合高清,http://36.27.104.104:4022/udp/233.50.201.156:5140
衢州综合高清,http://36.27.104.104:4022/udp/233.50.202.11:5140
衢州公共高清,http://36.27.104.104:4022/udp/233.50.202.12:5140
丽水新闻综合,http://36.27.104.104:4022/udp/233.50.201.162:5140
中国蓝直播高清,http://36.27.104.104:4022/udp/233.50.201.108:5140
都市剧场高清,http://36.27.104.104:4022/udp/233.50.200.11:5140
都市剧场高清,http://36.27.104.104:4022/udp/233.50.201.190:5140
欢笑剧场高清,http://36.27.104.104:4022/udp/233.50.200.229:5140
欢笑剧场高清,http://36.27.104.104:4022/udp/233.50.201.189:5140
动漫秀场高清,http://36.27.104.104:4022/udp/233.50.200.12:5140
动漫秀场高清,http://36.27.104.104:4022/udp/233.50.201.184:5140
游戏风云高清,http://36.27.104.104:4022/udp/233.50.200.14:5140
游戏风云高清,http://36.27.104.104:4022/udp/233.50.201.183:5140
生活时尚高清,http://36.27.104.104:4022/udp/233.50.200.15:5140
生活时尚高清,http://36.27.104.104:4022/udp/233.50.201.187:5140
法治天地高清,http://36.27.104.104:4022/udp/233.50.200.120:5140
法治天地高清,http://36.27.104.104:4022/udp/233.50.201.191:5140
金色学堂高清,http://36.27.104.104:4022/udp/233.50.200.122:5140
金色学堂高清,http://36.27.104.104:4022/udp/233.50.201.186:5140
快乐垂钓高清,http://36.27.104.104:4022/udp/233.50.200.123:5140
快乐垂钓高清,http://36.27.104.104:4022/udp/233.50.201.109:5140
茶频道台高清,http://36.27.104.104:4022/udp/233.50.200.124:5140
茶频道台高清,http://36.27.104.104:4022/udp/233.50.201.188:5140
第一财经高清,http://36.27.104.104:4022/udp/233.50.200.125:5140
乐游纪实高清,http://36.27.104.104:4022/udp/233.50.200.148:5140
乐游纪实高清,http://36.27.104.104:4022/udp/233.50.201.185:5140
教育四套高清,http://36.27.104.104:4022/udp/233.50.200.162:5140
新视觉台高清,http://36.27.104.104:4022/udp/233.50.201.244:5140
优优宝贝高清,http://36.27.104.104:4022/udp/233.50.202.24:5140
晴彩竞技高清,http://36.27.104.104:4022/udp/233.50.201.193:5140
晴彩竞技高清,http://36.27.104.104:4022/udp/233.50.202.26:5140
晴彩篮球高清,http://36.27.104.104:4022/udp/233.50.201.194:5140
晴彩篮球高清,http://36.27.104.104:4022/udp/233.50.202.27:5140
晴彩羽毛球高清,http://36.27.104.104:4022/udp/233.50.201.195:5140
晴彩羽毛球高清,http://36.27.104.104:4022/udp/233.50.202.28:5140
晴彩广场舞高清,http://36.27.104.104:4022/udp/233.50.201.226:5140
晴彩广场舞高清,http://36.27.104.104:4022/udp/233.50.202.29:5140
轮播频道高清,http://36.27.104.104:4022/udp/233.50.201.116:5140
轮播频道高清,http://36.27.104.104:4022/udp/233.50.201.117:5140

浙江央省电信,#genre#

凤凰中文高清,http://36.27.104.104:4022/udp/233.50.200.42:5140
凤凰中文高清,http://36.27.104.104:4022/udp/233.50.200.191:5140
凤凰资讯高清,http://36.27.104.104:4022/udp/233.50.200.192:5140
CCTV-1高清,http://36.27.104.104:4022/udp/233.50.200.99:5140
CCTV-1高清,http://36.27.104.104:4022/udp/233.50.200.130:5140
CCTV-1高清,http://36.27.104.104:4022/udp/233.50.200.143:5140
CCTV-1高清,http://36.27.104.104:4022/udp/233.50.201.118:5140
CCTV-1高清,http://36.27.104.104:4022/udp/233.50.201.222:5140
CCTV-2高清,http://36.27.104.104:4022/udp/233.50.200.25:5140
CCTV-2高清,http://36.27.104.104:4022/udp/233.50.200.100:5140
CCTV-2高清,http://36.27.104.104:4022/udp/233.50.201.119:5140
CCTV-3高清,http://36.27.104.104:4022/udp/233.50.200.107:5140
CCTV-3高清,http://36.27.104.104:4022/udp/233.50.201.196:5140
CCTV-4高清,http://36.27.104.104:4022/udp/233.50.200.101:5140
CCTV-5高清,http://36.27.104.104:4022/udp/233.50.200.108:5140
CCTV-5高清,http://36.27.104.104:4022/udp/233.50.201.197:5140
CCTV-5+高清,http://36.27.104.104:4022/udp/233.50.201.220:5140
CCTV-6高清,http://36.27.104.104:4022/udp/233.50.200.109:5140
CCTV-6高清,http://36.27.104.104:4022/udp/233.50.201.198:5140
CCTV-7高清,http://36.27.104.104:4022/udp/233.50.200.24:5140
CCTV-7高清,http://36.27.104.104:4022/udp/233.50.200.102:5140
CCTV-7高清,http://36.27.104.104:4022/udp/233.50.201.120:5140
CCTV-8高清,http://36.27.104.104:4022/udp/233.50.200.110:5140
CCTV-8高清,http://36.27.104.104:4022/udp/233.50.201.199:5140
CCTV-9高清,http://36.27.104.104:4022/udp/233.50.200.23:5140
CCTV-9高清,http://36.27.104.104:4022/udp/233.50.201.121:5140
CCTV-10高清,http://36.27.104.104:4022/udp/233.50.200.22:5140
CCTV-10高清,http://36.27.104.104:4022/udp/233.50.201.122:5140
CCTV-11高清,http://36.27.104.104:4022/udp/233.50.201.11:5140
CCTV-12高清,http://36.27.104.104:4022/udp/233.50.200.21:5140
CCTV-12高清,http://36.27.104.104:4022/udp/233.50.201.123:5140
CCTV-13高清,http://36.27.104.104:4022/udp/233.50.200.111:5140
CCTV-13高清,http://36.27.104.104:4022/udp/233.50.201.246:5140
CCTV-14高清,http://36.27.104.104:4022/udp/233.50.200.103:5140
CCTV-14高清,http://36.27.104.104:4022/udp/233.50.200.20:5140
CCTV-14高清,http://36.27.104.104:4022/udp/233.50.201.124:5140
CCTV-16高清,http://36.27.104.104:4022/udp/233.50.200.112:5140
CCTV-16高清,http://36.27.104.104:4022/udp/233.50.201.192:5140
CCTV-17高清,http://36.27.104.104:4022/udp/233.50.200.113:5140
CCTV-16 4K,http://36.27.104.104:4022/udp/233.50.201.63:5140
天津卫视高清,http://36.27.104.104:4022/udp/233.50.201.104:5140
河北卫视高清,http://36.27.104.104:4022/udp/233.50.200.105:5140
河北卫视高清,http://36.27.104.104:4022/udp/233.50.201.140:5140
安徽卫视高清,http://36.27.104.104:4022/udp/233.50.200.106:5140
安徽卫视高清,http://36.27.104.104:4022/udp/233.50.201.113:5140
重庆卫视高清,http://36.27.104.104:4022/udp/233.50.200.114:5140
云南卫视高清,http://36.27.104.104:4022/udp/233.50.200.115:5140
四川卫视高清,http://36.27.104.104:4022/udp/233.50.200.118:5140
四川卫视高清,http://36.27.104.104:4022/udp/233.50.201.139:5140
江西卫视高清,http://36.27.104.104:4022/udp/233.50.200.119:5140
江西卫视高清,http://36.27.104.104:4022/udp/233.50.201.145:5140
江苏卫视高清,http://36.27.104.104:4022/udp/233.50.200.144:5140
江苏卫视高清,http://36.27.104.104:4022/udp/233.50.201.106:5140
浙江卫视高清,http://36.27.104.104:4022/udp/233.50.200.145:5140
浙江卫视高清,http://36.27.104.104:4022/udp/233.50.200.231:5140
东方卫视高清,http://36.27.104.104:4022/udp/233.50.200.146:5140
东方卫视高清,http://36.27.104.104:4022/udp/233.50.201.125:5140
湖北卫视高清,http://36.27.104.104:4022/udp/233.50.200.147:5140
广东卫视高清,http://36.27.104.104:4022/udp/233.50.200.149:5140
广东卫视高清,http://36.27.104.104:4022/udp/233.50.201.102:5140
北京卫视高清,http://36.27.104.104:4022/udp/233.50.200.179:5140
北京卫视高清,http://36.27.104.104:4022/udp/233.50.201.107:5140
广东卫视高清,http://36.27.104.104:4022/udp/233.50.200.187:5140
深圳卫视高清,http://36.27.104.104:4022/udp/233.50.200.188:5140
深圳卫视高清,http://36.27.104.104:4022/udp/233.50.201.101:5140
黑龙江卫视高清,http://36.27.104.104:4022/udp/233.50.200.189:5140
黑龙江卫视高清,http://36.27.104.104:4022/udp/233.50.201.115:5140
湖南卫视高清,http://36.27.104.104:4022/udp/233.50.200.190:5140
湖南卫视高清,http://36.27.104.104:4022/udp/233.50.201.103:5140
山东卫视高清,http://36.27.104.104:4022/udp/233.50.201.105:5140
辽宁卫视高清,http://36.27.104.104:4022/udp/233.50.201.141:5140
贵州卫视高清,http://36.27.104.104:4022/udp/233.50.201.142:5140
重庆卫视高清,http://36.27.104.104:4022/udp/233.50.201.143:5140
河南卫视高清,http://36.27.104.104:4022/udp/233.50.201.144:5140
东南卫视高清,http://36.27.104.104:4022/udp/233.50.201.146:5140

广东IPTV央省,#genre#

CCTV-1高清,http://113.83.248.87:4200/udp/239.77.1.17:5146
CCTV-1高清,http://113.83.248.87:4200/udp/239.77.1.144:5146
CCTV-1高清,http://113.83.248.87:4200/udp/239.77.0.86:5146
CCTV-1超清,http://113.83.248.87:4200/udp/239.77.0.129:5146
CCTV-2高清,http://113.83.248.87:4200/udp/239.77.1.158:5146
CCTV-2高清,http://113.83.248.87:4200/udp/239.253.43.17:5146
CCTV-2高清测试,http://113.83.248.87:4200/udp/239.77.0.137:5146
CCTV-3高清,http://113.83.248.87:4200/udp/239.77.0.169:5146
CCTV-3超清,http://113.83.248.87:4200/udp/239.77.0.175:5146
CCTV-4高清,http://113.83.248.87:4200/udp/239.77.1.163:5146
CCTV-4高清,http://113.83.248.87:4200/udp/239.77.1.166:5146
CCTV-4高清,http://113.83.248.87:4200/udp/239.77.0.78:5146
CCTV-5高清,http://113.83.248.87:4200/udp/239.77.0.170:5146
CCTV-5超清,http://113.83.248.87:4200/udp/239.77.0.177:5146
CCTV-5+高清,http://113.83.248.87:4200/udp/239.77.0.87:5146
CCTV-5+高清,http://113.83.248.87:4200/udp/239.77.1.31:5146
CCTV-5+高清,http://113.83.248.87:4200/udp/239.77.1.147:5146
CCTV-6高清,http://113.83.248.87:4200/udp/239.77.0.171:5146
CCTV-6超清,http://113.83.248.87:4200/udp/239.77.0.178:5146
CCTV-7高清,http://113.83.248.87:4200/udp/239.77.1.159:5146
CCTV-7高清,http://113.83.248.87:4200/udp/239.77.1.167:5146
CCTV-7高清,http://113.83.248.87:4200/udp/239.77.1.167:5146
CCTV-7高清测试,http://113.83.248.87:4200/udp/239.77.0.138:5146
CCTV-8高清,http://113.83.248.87:4200/udp/239.77.0.172:5146
CCTV-8超清,http://113.83.248.87:4200/udp/239.77.0.181:5146
CCTV-9高清,http://113.83.248.87:4200/udp/239.77.1.160:5146
CCTV-9高清,http://113.83.248.87:4200/udp/239.77.1.168:5146
CCTV-9高清测试,http://113.83.248.87:4200/udp/239.77.0.135:5146
CCTV-10高清,http://113.83.248.87:4200/udp/239.77.1.113:5146
CCTV-10高清,http://113.83.248.87:4200/udp/239.77.1.169:5146
CCTV-10高清测试,http://113.83.248.87:4200/udp/239.77.0.134:5146
CCTV-11高清,http://113.83.248.87:4200/udp/239.77.1.238:5146
CCTV-12高清,http://113.83.248.87:4200/udp/239.77.1.109:5146
CCTV-12高清,http://113.83.248.87:4200/udp/239.77.1.170:5146
CCTV-12高清测试,http://113.83.248.87:4200/udp/239.77.0.136:5146
CCTV-13高清,http://113.83.248.87:4200/udp/239.77.0.188:5146
CCTV-13高清,http://113.83.248.87:4200/udp/239.253.43.196:5146
CCTV-14高清,http://113.83.248.87:4200/udp/239.77.1.161:5146
CCTV-14高清,http://113.83.248.87:4200/udp/239.77.1.171:5146
CCTV-14高清测试,http://113.83.248.87:4200/udp/239.77.0.133:5146
CCTV-15高清,http://113.83.248.87:4200/udp/239.77.1.239:5146
CCTV-16高清,http://113.83.248.87:4200/udp/239.77.0.165:5146
CCTV-16高清,http://113.83.248.87:4200/udp/239.77.1.76:5146
CCTV-16 4K,http://113.83.248.87:4200/udp/239.77.1.98:5146
CCTV-17高清,http://113.83.248.87:4200/udp/239.77.1.121:5146
CCTV-4K 4K,http://113.83.248.87:4200/udp/239.77.0.194:5146
CCTV-4K 4K50p,http://113.83.248.87:4200/udp/239.77.0.174:5146
CGTN,http://113.83.248.87:4200/udp/239.77.0.45:5146
CGTN,http://113.83.248.87:4200/udp/239.77.1.27:5146
CGTN英语高清,http://113.83.248.87:4200/udp/239.77.0.199:5146
CGTN西班牙语高清,http://113.83.248.87:4200/udp/239.77.0.221:5146
CGTN法语高清,http://113.83.248.87:4200/udp/239.77.0.228:5146
CGTN阿拉伯语高清,http://113.83.248.87:4200/udp/239.253.43.200:5146
CGTN俄语高清,http://113.83.248.87:4200/udp/239.253.43.201:5146
广东卫视高清,http://113.83.248.87:4200/udp/239.77.1.19:5146
广东卫视高清,http://113.83.248.87:4200/udp/239.77.1.152:5146
广东卫视高清,http://113.83.248.87:4200/udp/239.77.0.84:5146
广东卫视超清,http://113.83.248.87:4200/udp/239.77.0.166:5146
广东卫视,http://113.83.248.87:4200/udp/239.77.0.2:5146
广东卫视,http://113.83.248.87:4200/udp/239.77.1.2:5146
湖南卫视,http://113.83.248.87:4200/udp/239.77.0.46:5146
湖南卫视,http://113.83.248.87:4200/udp/239.77.1.29:5146
湖南卫视,http://113.83.248.87:4200/udp/239.77.1.5:5146
湖南卫视高清,http://113.83.248.87:4200/udp/239.77.1.129:5146
湖南卫视高清,http://113.83.248.87:4200/udp/239.77.0.88:5146
湖南卫视超清,http://113.83.248.87:4200/udp/239.77.0.127:5146
浙江卫视,http://113.83.248.87:4200/udp/239.77.0.47:5146
浙江卫视,http://113.83.248.87:4200/udp/239.77.1.32:5146
浙江卫视高清,http://113.83.248.87:4200/udp/239.77.1.33:5146
